Ticket purchase time,Phone Number,Ticket price,no of tickets,Type of tikcet
"Nov 1, 2022  01:05:23",6692598566,10,1,one way
"Nov 1, 2022  01:59:31",8504811394,20,1,one way
"Nov 1, 2022  03:09:56",8654795185,5,1,one way
"Nov 1, 2022  03:37:09",9175665873,5,1,one way
"Nov 1, 2022  04:13:18",6874981141,9,1,return
"Nov 1, 2022  04:38:56",7378294908,10,1,one way
"Nov 1, 2022  05:07:09",7057864586,80,4,one way
"Nov 1, 2022  05:15:48",8315591710,10,2,one way
"Nov 1, 2022  05:55:06",7839398180,25,5,one way
"Nov 1, 2022  07:00:12",8352543873,5,1,one way
"Nov 1, 2022  07:02:30",8922588949,108,3,return
"Nov 1, 2022  07:53:54",7000606257,108,3,return
"Nov 1, 2022  07:59:23",6978571018,10,1,one way
"Nov 1, 2022  08:19:32",9603676237,5,1,one way
"Nov 1, 2022  08:26:01",7571501557,5,1,one way
"Nov 1, 2022  08:35:14",7645176259,20,1,one way
"Nov 1, 2022  09:53:34",9809731231,20,1,one way
"Nov 1, 2022  10:19:29",9091848651,10,1,one way
"Nov 1, 2022  10:43:41",8697233041,5,1,one way
"Nov 1, 2022  11:26:18",9377957371,25,5,one way
"Nov 1, 2022  13:24:23",7884374226,36,4,return
"Nov 1, 2022  13:27:50",6822006838,108,3,return
"Nov 1, 2022  14:23:43",9508448208,5,1,one way
"Nov 1, 2022  15:02:18",7176139396,36,4,return
"Nov 1, 2022  15:09:39",8585879150,10,1,one way
"Nov 1, 2022  15:57:36",7530789003,20,1,one way
"Nov 1, 2022  15:59:20",8855906094,5,1,one way
"Nov 1, 2022  16:03:56",9826229368,5,1,one way
"Nov 1, 2022  16:49:52",8435955442,10,1,one way
"Nov 1, 2022  16:59:57",9540668973,10,1,one way
"Nov 1, 2022  17:38:59",8783774124,25,5,one way
"Nov 1, 2022  17:42:52",9482891748,20,1,one way
"Nov 1, 2022  18:23:37",9645216062,20,1,one way
"Nov 1, 2022  18:50:24",9337449228,60,6,one way
"Nov 1, 2022  18:51:42",6849055157,10,1,one way
"Nov 1, 2022  18:52:25",8898072504,5,1,one way
"Nov 1, 2022  19:07:06",8852704374,5,1,one way
"Nov 1, 2022  19:22:05",8699322551,20,1,one way
"Nov 1, 2022  19:33:53",9330458725,10,1,one way
"Nov 1, 2022  19:55:38",8073391286,90,5,return
"Nov 1, 2022  21:00:17",8829054318,60,6,one way
"Nov 1, 2022  21:10:57",7462390190,20,1,one way
"Nov 1, 2022  21:25:47",9834431647,5,1,one way
"Nov 2, 2022  01:25:06",7932874508,80,4,one way
"Nov 2, 2022  02:55:06",7623084623,20,1,one way
"Nov 2, 2022  03:03:27",8529719348,10,1,one way
"Nov 2, 2022  05:18:49",9345931573,10,1,one way
"Nov 2, 2022  07:22:48",9186289787,25,5,one way
"Nov 2, 2022  07:34:54",7432046517,20,1,one way
"Nov 2, 2022  07:57:48",8086496766,10,1,one way
"Nov 2, 2022  08:02:50",8027059599,216,6,return
"Nov 2, 2022  08:05:17",6950902510,9,1,return
"Nov 2, 2022  08:17:23",9738783490,9,1,return
"Nov 2, 2022  09:44:47",8500831645,20,1,one way
"Nov 2, 2022  09:47:23",9667311734,20,1,one way
"Nov 2, 2022  10:48:00",8786811252,216,6,return
"Nov 2, 2022  11:00:14",9767226828,10,1,one way
"Nov 2, 2022  11:19:15",8013840527,108,3,return
"Nov 2, 2022  13:06:14",6880777814,36,2,return
"Nov 2, 2022  13:22:48",9282497368,25,5,one way
"Nov 2, 2022  13:31:44",7898609500,20,1,one way
"Nov 2, 2022  13:55:03",7144493929,20,1,one way
"Nov 2, 2022  14:59:25",7874696658,5,1,one way
"Nov 2, 2022  15:03:10",9027956270,5,1,one way
"Nov 2, 2022  16:01:21",8752303456,25,5,one way
"Nov 2, 2022  16:13:35",7157823224,20,1,one way
"Nov 2, 2022  16:39:39",7796032464,5,1,one way
"Nov 2, 2022  17:01:06",9521852291,108,3,return
"Nov 2, 2022  17:02:59",8753214298,10,1,one way
"Nov 2, 2022  17:04:25",6600912654,5,1,one way
"Nov 2, 2022  17:20:33",7049597296,10,1,one way
"Nov 2, 2022  18:55:44",8339391332,60,6,one way
"Nov 2, 2022  19:17:28",6977288607,5,1,one way
"Nov 2, 2022  19:51:19",7057923898,10,2,one way
"Nov 2, 2022  21:12:58",8747343177,5,1,one way
"Nov 2, 2022  21:37:09",7412383596,20,1,one way
"Nov 2, 2022  21:41:37",9455735801,5,1,one way
"Nov 2, 2022  22:34:28",6802911921,5,1,one way
"Nov 2, 2022  22:40:13",7793018975,20,1,one way
"Nov 2, 2022  22:40:39",7628980123,5,1,one way
"Nov 2, 2022  22:49:18",7789123048,36,4,return
"Nov 2, 2022  22:51:01",7092887008,20,1,one way
"Nov 2, 2022  22:53:46",9501826859,20,1,one way
"Nov 3, 2022  01:18:03",8595151611,9,1,return
"Nov 3, 2022  01:19:47",6635303902,36,2,return
"Nov 3, 2022  01:31:26",7873263978,80,4,one way
"Nov 3, 2022  01:48:00",8195350420,10,1,one way
"Nov 3, 2022  01:48:09",7416843203,5,1,one way
"Nov 3, 2022  01:55:47",7852924025,5,1,one way
"Nov 3, 2022  01:55:55",7937432455,36,4,return
"Nov 3, 2022  02:20:15",7969591239,10,1,one way
"Nov 3, 2022  02:38:24",9825998977,60,6,one way
"Nov 3, 2022  03:02:10",9839880425,10,1,one way
"Nov 3, 2022  03:23:37",6851876754,10,2,one way
"Nov 3, 2022  03:24:46",8472694533,10,1,one way
"Nov 3, 2022  03:27:22",8422065155,10,1,one way
"Nov 3, 2022  03:33:50",7928575999,10,1,one way
"Nov 3, 2022  03:36:52",8169490387,36,4,return
"Nov 3, 2022  03:40:28",6609187003,20,1,one way
"Nov 3, 2022  03:43:03",7780332845,20,1,one way
"Nov 3, 2022  03:52:25",8214005876,90,5,return
"Nov 3, 2022  04:13:26",7556952743,10,1,one way
"Nov 3, 2022  04:41:14",8626289750,20,1,one way
"Nov 3, 2022  05:29:28",9499794797,10,1,one way
"Nov 3, 2022  06:15:50",9049755959,9,1,return
"Nov 3, 2022  07:05:23",8369012857,108,3,return
"Nov 3, 2022  07:34:54",9010940755,20,1,one way
"Nov 3, 2022  08:37:24",8891686668,20,1,one way
"Nov 3, 2022  08:41:00",8515677014,20,1,one way
"Nov 3, 2022  09:19:52",7479101152,10,1,one way
"Nov 3, 2022  09:47:31",7468286702,25,5,one way
"Nov 3, 2022  10:29:25",8516326351,90,5,return
"Nov 3, 2022  10:39:13",6805998027,20,1,one way
"Nov 3, 2022  10:52:54",7248095887,90,5,return
"Nov 3, 2022  11:08:18",7099564766,5,1,one way
"Nov 3, 2022  11:18:58",8918438932,10,2,one way
"Nov 3, 2022  12:24:03",7474633853,20,1,one way
"Nov 3, 2022  12:32:41",7443949507,36,4,return
"Nov 3, 2022  13:48:52",9680822847,9,1,return
"Nov 3, 2022  14:33:48",8426754104,20,1,one way
"Nov 3, 2022  14:37:41",7202587260,10,1,one way
"Nov 3, 2022  15:12:32",6850618374,60,6,one way
"Nov 3, 2022  15:45:39",7303444524,20,1,one way
"Nov 3, 2022  15:52:08",8252989850,60,6,one way
"Nov 3, 2022  16:42:23",9127962158,10,1,one way
"Nov 3, 2022  17:29:46",7488358639,36,2,return
"Nov 3, 2022  17:59:00",8905801734,5,1,one way
"Nov 3, 2022  19:20:30",8645694378,10,1,one way
"Nov 3, 2022  20:37:49",7754565428,10,1,one way
"Nov 3, 2022  20:39:07",7317927859,5,1,one way
"Nov 3, 2022  20:39:59",9395620211,5,1,one way
"Nov 3, 2022  20:48:37",8528103584,20,1,one way
"Nov 3, 2022  20:55:24",9842909755,10,1,one way
"Nov 3, 2022  20:56:41",8115138191,60,6,one way
"Nov 3, 2022  21:38:36",7930531930,20,1,one way
"Nov 3, 2022  21:46:39",7152875569,5,1,one way
"Nov 3, 2022  22:18:03",7955381407,5,1,one way
"Nov 4, 2022  01:43:58",8262043260,80,4,one way
"Nov 4, 2022  02:03:33",7555565917,108,3,return
"Nov 4, 2022  02:38:07",7756263901,90,5,return
"Nov 4, 2022  04:21:39",8666387344,25,5,one way
"Nov 4, 2022  05:08:27",8662113253,20,1,one way
"Nov 4, 2022  05:10:36",8772104248,216,6,return
"Nov 4, 2022  05:12:37",6988880636,20,1,one way
"Nov 4, 2022  05:19:06",8267743645,20,1,one way
"Nov 4, 2022  05:46:11",7690133884,20,1,one way
"Nov 4, 2022  06:13:06",7394866386,20,1,one way
"Nov 4, 2022  06:37:52",9602541964,36,4,return
"Nov 4, 2022  07:09:59",8711356012,20,1,one way
"Nov 4, 2022  07:57:22",7139024487,10,1,one way
"Nov 4, 2022  08:14:12",7773623385,5,1,one way
"Nov 4, 2022  08:20:24",9723307561,5,1,one way
"Nov 4, 2022  08:30:29",7779251556,30,3,one way
"Nov 4, 2022  08:36:40",9068143555,5,1,one way
"Nov 4, 2022  08:39:24",6555893301,25,5,one way
"Nov 4, 2022  08:42:09",8294935508,25,5,one way
"Nov 4, 2022  08:50:04",9767292201,10,1,one way
"Nov 4, 2022  09:39:01",7163716600,10,1,one way
"Nov 4, 2022  10:40:13",7287891003,20,1,one way
"Nov 4, 2022  10:54:12",7269249511,20,1,one way
"Nov 4, 2022  11:15:13",9168661495,5,1,one way
"Nov 4, 2022  11:37:58",8258755431,10,1,one way
"Nov 4, 2022  11:43:35",7983695812,20,1,one way
"Nov 4, 2022  12:24:29",7294768507,10,1,one way
